Facility ID,Facility Name,City/Town,State,ZIP Code,County/Parish,Measure ID,Measure Name,Score,Sample,Footnote,Start Date,End Date
010001,SOUTHEAST HEALTH MEDICAL CENTER,DOTHAN,AL,36301,HOUSTON,EDV,Emergency department volume,very high,,,01/01/2024,12/31/2024
010001,SOUTHEAST HEALTH MEDICAL CENTER,DOTHAN,AL,36301,HOUSTON,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",214,405,,10/01/2024,09/30/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,DOTHAN,AL,36301,HOUSTON,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",212,396,,10/01/2024,09/30/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,DOTHAN,AL,36301,HOUSTON,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,Not Available,Not Available,1,10/01/2024,09/30/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,DOTHAN,AL,36301,HOUSTON,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,Not Available,Not Available,1,10/01/2024,09/30/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,DOTHAN,AL,36301,HOUSTON,OP_22,Left before being seen,3,62163,,01/01/2024,12/31/2024
010005,MARSHALL MEDICAL CENTERS,BOAZ,AL,35957,MARSHALL,EDV,Emergency department volume,very high,,,01/01/2024,12/31/2024
010005,MARSHALL MEDICAL CENTERS,BOAZ,AL,35957,MARSHALL,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",146,1214,,10/01/2024,09/30/2025
010005,MARSHALL MEDICAL CENTERS,BOAZ,AL,35957,MARSHALL,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",143,1155,,10/01/2024,09/30/2025
010005,MARSHALL MEDICAL CENTERS,BOAZ,AL,35957,MARSHALL,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,242,30,,10/01/2024,09/30/2025
010005,MARSHALL MEDICAL CENTERS,BOAZ,AL,35957,MARSHALL,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,332,31,,10/01/2024,09/30/2025
010005,MARSHALL MEDICAL CENTERS,BOAZ,AL,35957,MARSHALL,OP_22,Left before being seen,3,60663,,01/01/2024,12/31/2024
010006,NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,35630,LAUDERDALE,EDV,Emergency department volume,high,,,01/01/2024,12/31/2024
010006,NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,35630,LAUDERDALE,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",158,376,,10/01/2024,09/30/2025
010006,NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,35630,LAUDERDALE,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",147,328,,10/01/2024,09/30/2025
010006,NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,35630,LAUDERDALE,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,218,13,,10/01/2024,09/30/2025
010006,NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,35630,LAUDERDALE,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,328,36,,10/01/2024,09/30/2025
010006,NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,35630,LAUDERDALE,OP_22,Left before being seen,1,46884,,01/01/2024,12/31/2024
010007,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467,COVINGTON,EDV,Emergency department volume,low,,,01/01/2024,12/31/2024
010007,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467,COVINGTON,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",137,1103,,10/01/2024,09/30/2025
010007,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467,COVINGTON,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",130,1004,,10/01/2024,09/30/2025
010007,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467,COVINGTON,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,242,57,,10/01/2024,09/30/2025
010007,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467,COVINGTON,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,295,43,,10/01/2024,09/30/2025
010007,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467,COVINGTON,OP_22,Left before being seen,1,11011,,01/01/2024,12/31/2024
010011,ST. VINCENT'S EAST,BIRMINGHAM,AL,35235,JEFFERSON,EDV,Emergency department volume,Not Available,,5,01/01/2024,12/31/2024
010011,ST. VINCENT'S EAST,BIRMINGHAM,AL,35235,JEFFERSON,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",168,369,,10/01/2024,09/30/2025
010011,ST. VINCENT'S EAST,BIRMINGHAM,AL,35235,JEFFERSON,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",158,341,,10/01/2024,09/30/2025
010011,ST. VINCENT'S EAST,BIRMINGHAM,AL,35235,JEFFERSON,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,Not Available,Not Available,1,10/01/2024,09/30/2025
010011,ST. VINCENT'S EAST,BIRMINGHAM,AL,35235,JEFFERSON,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,371,19,,10/01/2024,09/30/2025
010011,ST. VINCENT'S EAST,BIRMINGHAM,AL,35235,JEFFERSON,OP_22,Left before being seen,Not Available,Not Available,5,01/01/2024,12/31/2024
010012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,35968,DE KALB,EDV,Emergency department volume,medium,,,01/01/2024,12/31/2024
010012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,35968,DE KALB,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",174,410,,10/01/2024,09/30/2025
010012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,35968,DE KALB,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",164,376,,10/01/2024,09/30/2025
010012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,35968,DE KALB,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,346,15,,10/01/2024,09/30/2025
